country,sender nationality,reciever nationality,debit,credit
OM,SD,OM,65.51,0.0
OM,OM,OM,9.4,0.0
OM,OM,OM,0.1,0.0
OM,OM,OM,0.2,0.0
IE,OM,IE,11.86,0.0
OM,OM,OM,6.0,0.0
OM,OM,OM,16.87,0.0
OM,OM,OM,3.5,0.0
OM,OM,OM,2.2,0.0
OM,OM,OM,3.93,0.0
OM,OM,OM,8.0,0.0
OM,OM,OM,13.8,0.0
OM,JO,OM,28.0,0.0
AE,OM,AE,48.13,0.0
CN,OM,CN,1.2,0.0
OM,OM,OM,2.0,0.0
OM,OM,OM,0.7,0.0
OM,SY,OM,6.82,0.0
OM,SY,OM,4.02,0.0
OM,SY,OM,14.15,0.0
